"Titre","Auteur","Prenom","Nom","Date_creation","Dates_naissance_deces_artiste","Lieu_naissance","Date_naissance","Lieu_deces","Date_deces","Domaine","id_domaine","Technique","Dimensions","Dimensions_split_1","DimX","DimY","DimZ","Annee_acquisition","Type_acquisition","Type_acquisition_copy","Précisions_acquisition","No_inventaire","Lien_Navigart"
"""L'Ingratitude et l'Injustice"" des hmmes envers la Fortune","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Aquarelle sur papier","25 x 20 cm","25 x 20 ","25 "," 20 ","","0","Inconnu","0","Acquisition","5069","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067534"
"Trafalgar Tavern à Greenwich","James TISSOT","James","TISSOT","achevé en 1878","Nantes (Loire-Atlantique), 1836 - Buillon (Doubs), 1902","Nantes (Loire-Atlantique)"," 1836 "," Buillon (Doubs)"," 1902","Estampe","4","Estampe, EpreuveEau-forte sur papier","35,5 x 25,2 cm","35,5 x 25,2 ","35,5 "," 25,2 ","","1904","Legs","4","Legs de M. Tissot en 1904","3857 (a)","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005979"
"Entre les deux mon coeur balance","James TISSOT","James","TISSOT","achevé en 1877","Nantes (Loire-Atlantique), 1836 - Buillon (Doubs), 1902","Nantes (Loire-Atlantique)"," 1836 "," Buillon (Doubs)"," 1902","Estampe","4","Eau-forte sur papier","25 x 35,5 cm","25 x 35,5 ","25 "," 35,5 ","","1904","Legs","4","Legs de M. Tissot en 1904","3853","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005975"
"Etude ""femme pensive, fleur à la main""","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","s.d.","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb, papier blanc","15,5 x 7,7 cm","15,5 x 7,7 ","15,5 "," 7,7 ","","0","Inconnu","0","Acquisition","4076","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065002"
"Copie de Franz Hals","Charles TOCHÉ","Charles","TOCHÉ","avant 1916","Nantes (Loire-Atlantique), 1851 - Paris (France), 1916","Nantes (Loire-Atlantique)"," 1851 "," Paris (France)"," 1916","Dessin","3","Mine de plomb et aquarelle sur papier","37 x 50 cm","37 x 50 ","37 "," 50 ","","1940","Legs","4","Legs de M. Lebrun en 1940","2464","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003479"
"Femmes et enfant à la fontaine","Auguste TOULMOUCHE","Auguste","TOULMOUCHE","1856","Nantes (Loire-Atlantique), 1829 - Paris (France), 1890","Nantes (Loire-Atlantique)"," 1829 "," Paris (France)"," 1890","Peinture","2","huile sur toile","61 x 81 cm","61 x 81 ","61 "," 81 ","","0","Inconnu","0","Acquisition","570.2803","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000109096"
"Monseigneur Fournier devant la Sainte Trinité","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume et mine de plomb sur papier calque","25 x 32,5 cm","25 x 32,5 ","25 "," 32,5 ","","0","Inconnu","0","Acquisition","5499","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069292"
"La Walkyrie, acte I: Sieglinde et Sigmund","Henri FANTIN-LATOUR","Henri","FANTIN-LATOUR","achevé en 1886","Grenoble (Isère), 1836 - Buré (Orne), 1904","Grenoble (Isère)"," 1836 "," Buré (Orne)"," 1904","Estampe","4","Lithographie sur papier","22,7 x 15,1 cm","22,7 x 15,1 ","22,7 "," 15,1 ","","1912","Legs","4","Legs en 1912","3297","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008235"
"Capri. Famille de pêcheurs","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","1857","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb - papier à dessin bleu","18,7 x 20,8 cm","18,7 x 20,8 ","18,7 "," 20,8 ","","0","Inconnu","0","Acquisition","4595","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007681"
"Paysannes à Capri montent et descendent une ruelle","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","1857","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb - papier blanc","27 x 17,5 cm","27 x 17,5 ","27 "," 17,5 ","","0","Inconnu","0","Acquisition","4596","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007682"
"Le petit ermite en prière","Emmanuel PHELIPPES-BEAULIEUX","Emmanuel","PHELIPPES-BEAULIEUX","8 mai 1859 - 10 mai 1859","Nantes (Loire-Atlantique), 1819 - Nantes (Loire-Atlantique), 1874","Nantes (Loire-Atlantique)"," 1819 "," Nantes (Loire-Atlantique)"," 1874","Estampe","4","Semi-circulaireEau-forte sur papier","4,2 x 7,1 cm","4,2 x 7,1 ","4,2 "," 7,1 ","","1948","Don","1","Don de M. Michel Noury en 1948","3455","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005796"
"Deux études pour les chasseurs","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier calque","22,1 x 21,7 cm","22,1 x 21,7 ","22,1 "," 21,7 ","","0","Inconnu","0","Acquisition","4711","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066255"
"Libertad. Etude de figures volantes","Luc-Olivier MERSON","Luc-Olivier","MERSON","s.d.","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Dessin","3","Crayon, pierre noire, plume et encre, gouache sur papier calque contrecollé sur carton","43,9 x 39,9 cm","43,9 x 39,9 ","43,9 "," 39,9 ","","1983","Achat","3","Achat à M. Philippe Merson en 1983","983.21.26.D","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003882"
"Etude de draperies : sur les deux jambes d'un personnage assis","Luc-Olivier MERSON","Luc-Olivier","MERSON","s.d.","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Dessin","3","Fusain, rehauts de craie blanche sur papier calque contrecollé sur papier rose","29,7 x 27 cm","29,7 x 27 ","29,7 "," 27 ","","1983","Achat","3","Achat à M. Philippe Merson en 1983","983.21.36.D","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003892"
"Etude de branches","Luc-Olivier MERSON","Luc-Olivier","MERSON","s.d.","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Dessin","3","Pierre noire sur papier vert","32,7 x 45,7 cm","32,7 x 45,7 ","32,7 "," 45,7 ","","0","Inconnu","0","Acquisition","2016.0.28.D","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143816"
"Nantes, la Poissonnerie","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1912","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, EpreuveEau-forte sur papier","19,9 x 27,9 cm15,2 x 18,6 cm (hors marge)","19,9 x 27,9 ","19,9 "," 27,9 ","","1949","Legs","4","Legs DEVILLE, Mme veuve en 1949","3651(1)","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000081994"
"Un chouan","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","12,6 x 9,6 cm","12,6 x 9,6 ","12,6 "," 9,6 ","","0","Inconnu","0","Acquisition","4053","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064976"
"La receveuse","Jean-Emile LABOUREUR","Jean-Emile","LABOUREUR","1917","Nantes (Loire-Atlantique), 1877 - Pénestin (Morbihan), 1943","Nantes (Loire-Atlantique)"," 1877 "," Pénestin (Morbihan)"," 1943","Estampe","4","Cuivre gravé au burin","20 x 15,1 cm","20 x 15,1 ","20 "," 15,1 ","","1966","Don","1","Don de Mme Laboureur en 1966","966.12.2.C","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003860"
"Etude de la mise en place des deux sujets","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier calque","10,3 x 17,2 cm","10,3 x 17,2 ","10,3 "," 17,2 ","","0","Inconnu","0","Acquisition","4655","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065390"
"L'escarpolette du Frère Genièvre ou La balançoire du Frère Genièvre","Maurice DENIS","Maurice","DENIS","avant 1924","Granville (Manche), 1870 - Saint-Germain-en-Laye (Yvelines), 1943","Granville (Manche)"," 1870 "," Saint-Germain-en-Laye (Yvelines)"," 1943","Peinture","2","Huile sur toile","58,5 x 93 cm","58,5 x 93 ","58,5 "," 93 ","","1924","Achat","3","Achat à l'artiste en 1924","2015","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001613"
"Façade d'hôtel","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1938","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, EpreuveEau-forte, tirage sur papier Arches","45,3 x 31,6 cm31,8 x 21,6 cm (hors marge)","45,3 x 31,6 ","45,3 "," 31,6 ","","1955","Inconnu","0","Acquisition en 1955","6529(2)","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082713"
"La Renommée assise sur le Monde","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume sur papier","27,4 x 21,5 cm","27,4 x 21,5 ","27,4 "," 21,5 ","","0","Inconnu","0","Acquisition","5320","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068784"
"Jardin des Gobelins","Auguste Louis LEPÈRE","Auguste Louis","LEPÈRE","fin XIXe siècle","Paris (France), 1849 - Domme (Dordogne), 1918","Paris (France)"," 1849 "," Domme (Dordogne)"," 1918","Dessin","3","Pierre noire et aquarelle sur papier vergé contrecollé sur papier","16,2 x 24,5 cm","16,2 x 24,5 ","16,2 "," 24,5 ","","1902","Don","1","Don de M. Lotz-Brissonneau en 1902","1579","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008088"
"Vase de fleurs","Jean-Emile LABOUREUR","Jean-Emile","LABOUREUR","s.d.","Nantes (Loire-Atlantique), 1877 - Pénestin (Morbihan), 1943","Nantes (Loire-Atlantique)"," 1877 "," Pénestin (Morbihan)"," 1943","Estampe","4","Eau-forte et aquatinte","16 x 14,9 cm","16 x 14,9 ","16 "," 14,9 ","","1928","Achat","3","Achat à l'artiste en 1928","2537","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002225"
"Tête de vieillard - Copie d'antique (Sénèque ?)","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","s.d.","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","15 x 10 cm","15 x 10 ","15 "," 10 ","","0","Inconnu","0","Acquisition","sans numéro","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000053983"
"Etude d'un rameur","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XVIIIe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier calque","16,7 x 16 cm","16,7 x 16 ","16,7 "," 16 ","","0","Inconnu","0","Acquisition","4399","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065245"
"Femme de dos, marchant, tête sur l'épaule droite, bras droit en mouvement, le gauche replié","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Fusain sur papier","49,2 x 32,5 cm","49,2 x 32,5 ","49,2 "," 32,5 ","","0","Inconnu","0","Acquisition","6052","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069790"
"Plan et rez-de-chausée des bâtiments neufs.","Joseph Henri DEVERIN","Joseph Henri","DEVERIN","1898 - 1902","?, 1846 - ?, 1921","?"," 1846 "," ?"," 1921","Dessin","3","Plume et lavis d'encre de chine","37 x 52 cm","37 x 52 ","37 "," 52 ","","1904","Don","1","Don de l'artiste en 1904","1472","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008007"
"Personnage, genoux en terre, mains croisées sur la poitrine, deux petites cornes sur la tête, vu plus de dos","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","17,5 x 11 cm","17,5 x 11 ","17,5 "," 11 ","","0","Inconnu","0","Acquisition","4868","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067334"
"La rue du Sabot, Paris","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1930","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, Matrice cuivreEau-forte","18,1 x 9,2 x 0,15 cm","18,1 x 9,2 x 0,15 ","18,1 "," 9,2 "," 0,15 ","1949","Legs","4","Legs DEVILLE, Mme veuve en 1949","3576","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000142929"
"Nancy, la place Stanislas","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1930","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, EpreuveEau-forte, tirage sur papier japonais","27,7 x 34,8 cm21,6 x 30 cm (hors marge)","27,7 x 34,8 ","27,7 "," 34,8 ","","1949","Legs","4","Legs DEVILLE, Mme veuve en 1949","3717","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082151"
"Portrait de Benjamin Péret","Louis MARCOUSSIS ","Louis","MARCOUSSIS","s.d.","Varsovie (Pologne), 1878 - Cusset (Allier), 1941","Varsovie (Pologne)"," 1878 "," Cusset (Allier)"," 1941","Estampe","4","Pointe-sèche","44,8 x 32,8 cm32,5 x 29,5 cm (hors marge)","44,8 x 32,8 ","44,8 "," 32,8 ","","0","Dépôt","2","AcquisitionDirection des musées de FranceDépôt au Musée des Beaux-Arts de Nantes en 1992","SEM 753","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003627"
"Sujet à genou de profil, appuyé sur un bâton","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","30,4 x 19,7 cm","30,4 x 19,7 ","30,4 "," 19,7 ","","0","Inconnu","0","Acquisition","4119","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065042"
"Deux prophètes : Daniel et Ezechiel. Deux angelots","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","s.d.","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Ensemblehuile sur carton","62 x 76 cm","62 x 76 ","62 "," 76 ","","1935","Don","1","Don de Edmond de Biéville en 1935","935.8.1.P","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005363"
"Homme couché sur ventre, apuyé sur un bras sous une draperie. Tête hirsute","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Sanguine sur papier","18,5 x 25,8 cm","18,5 x 25,8 ","18,5 "," 25,8 ","","0","Inconnu","0","Acquisition","5903","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007727"
"Coucher de soleil sur la mer","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Pastel sur papier","22,3 x 15,6 cm","22,3 x 15,6 ","22,3 "," 15,6 ","","0","Inconnu","0","Acquisition","4045","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064968"
"Illustration pour les ""Trophées"" de José-Maria de Hérédia","Luc-Olivier MERSON","Luc-Olivier","MERSON","1907","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Estampe","4","Estampe, EpreuveEau-forte, tirage sur papier filigrané","32,8 x 23,9 cm19,9 x 8,8 cm (hors marge)","32,8 x 23,9 ","32,8 "," 23,9 ","","1921","Legs","4","Legs de Mme Fantin-Latour en 1921","3311","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008248"
"Illustration pour les ""Trophées"" de José-Maria de Hérédia","Luc-Olivier MERSON","Luc-Olivier","MERSON","1907","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Estampe","4","Estampe, EpreuveEau-forte, tirage sur papier filigrané","32,8 x 23,8 cm19,9 x 8,8 cm (hors marge)","32,8 x 23,8 ","32,8 "," 23,8 ","","1921","Legs","4","Legs de Mme Fantin-Latour en 1921","3312","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008249"
"Une femme agenouillée assise sur ses talons","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Sanguine sur papier à dessin","23,5 x 26,5 cm","23,5 x 26,5 ","23,5 "," 26,5 ","","0","Inconnu","0","Acquisition","4293","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065141"
"Prométhée attaché à son rocher","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume sur papier","15,2 x 19,3 cm","15,2 x 19,3 ","15,2 "," 19,3 ","","0","Inconnu","0","Acquisition","4761","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066303"
"Deux chevaux narines frémissantes","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier calque","20 x 16,4 cm","20 x 16,4 ","20 "," 16,4 ","","0","Inconnu","0","Acquisition","4877","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067346"
"Apollon dans un groupe","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","21,6 x 20,8 cm","21,6 x 20,8 ","21,6 "," 20,8 ","","0","Inconnu","0","Acquisition","4888","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067355"
"Christ en croix","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume sur papier pelure","20,6 x 13,2 cm","20,6 x 13,2 ","20,6 "," 13,2 ","","0","Inconnu","0","Acquisition","3967","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064796"
"Le prisonnier","Jean-Léon GÉRÔME","Jean-Léon","GÉRÔME","1861","Vesoul (Haute-Saône), 1824 - Paris (France), 1904","Vesoul (Haute-Saône)"," 1824 "," Paris (France)"," 1904","Peinture","2","L'oeuvre est placée sous caisson climatiqueHuile sur bois","45 x 78 cm","45 x 78 ","45 "," 78 ","","1861","Achat","3","Achat à l'artiste en 1861","990","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004178"
"","Sophie TAEUBER-ARP ","Sophie","TAEUBER-ARP","s.d.","Davos (Suisse), 1889 - Zurich (Suisse), 1943","Davos (Suisse)"," 1889 "," Zurich (Suisse)"," 1943","Estampe","4","D'aprèsSérigraphie","84 x 66 cm","84 x 66 ","84 "," 66 ","","1979","Don","1","Don de Jean et Suzanne Gorin en 1979","979.14.22.E","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003427"
